adduser	3.137ubuntu1	all
adwaita-icon-theme	46.0-1	all
alsa-topology-conf	1.2.5.1-2	all
alsa-ucm-conf	1.2.10-1ubuntu5.14	all
apt	2.8.3	arm64
at-spi2-common	2.52.0-1build1	all
at-spi2-core	2.52.0-1build1	arm64
autoconf	2.71-3	all
automake	1:1.16.5-1.3ubuntu1	all
autotools-dev	20220109.1	all
avahi-daemon	0.8-13ubuntu6.2	arm64
base-files	13ubuntu10.4	arm64
base-passwd	3.6.3build1	arm64
bash	5.2.21-2ubuntu4	arm64
binutils	2.42-4ubuntu2.10	arm64
binutils-aarch64-linux-gnu	2.42-4ubuntu2.10	arm64
binutils-common	2.42-4ubuntu2.10	arm64
blt	2.5.3+dfsg-7build1	arm64
bsdutils	1:2.39.3-9ubuntu6.6	arm64
build-essential	12.10ubuntu1	arm64
bzip2	1.0.8-5.1ubuntu0.1	arm64
bzip2-doc	1.0.8-5.1ubuntu0.1	all
ca-certificates	20260601~24.04.1	all
catch2	3.4.0-1build1	arm64
cmake	3.28.3-1build7	arm64
cmake-data	3.28.3-1build7	all
comerr-dev	2.1-1.47.0-2.4~exp1ubuntu4.1	arm64
coreutils	9.4-3ubuntu6.3	arm64
cpp	4:13.2.0-7ubuntu1	arm64
cpp-13	13.3.0-6ubuntu2~24.04.1	arm64
cpp-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
cpp-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
cppcheck	2.13.0-2ubuntu3	arm64
cppzmq-dev	4.10.0-1build1	arm64
curl	8.5.0-2ubuntu10.13	arm64
dash	0.5.12-6ubuntu5	arm64
dbus	1.14.10-4ubuntu4.1	arm64
dbus-bin	1.14.10-4ubuntu4.1	arm64
dbus-daemon	1.14.10-4ubuntu4.1	arm64
dbus-session-bus-common	1.14.10-4ubuntu4.1	all
dbus-system-bus-common	1.14.10-4ubuntu4.1	all
dbus-user-session	1.14.10-4ubuntu4.1	arm64
dconf-gsettings-backend	0.40.0-4ubuntu0.1	arm64
dconf-service	0.40.0-4ubuntu0.1	arm64
debconf	1.5.86ubuntu1	all
debianutils	5.17build1	arm64
default-libmysqlclient-dev	1.1.0build1	arm64
diffutils	1:3.10-1ubuntu0.1	arm64
dirmngr	2.4.4-2ubuntu17.6	arm64
dmsetup	2:1.02.185-3ubuntu3.2	arm64
docutils-common	0.20.1+dfsg-3	all
dpkg	1.22.6ubuntu6.6	arm64
dpkg-dev	1.22.6ubuntu6.6	all
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	arm64
file	1:5.45-3build1	arm64
findutils	4.9.0-5build1	arm64
fontconfig	2.15.0-1.1ubuntu2	arm64
fontconfig-config	2.15.0-1.1ubuntu2	arm64
fonts-dejavu-core	2.37-8	all
fonts-dejavu-mono	2.37-8	all
fonts-droid-fallback	1:6.0.1r16-1.1build1	all
fonts-lato	2.015-1	all
fonts-lyx	2.4.0~RC3-1build4	all
fonts-noto-mono	20201225-2	all
fonts-open-sans	1.11-2	all
fonts-urw-base35	20200910-8	all
freeglut3-dev	3.4.0-1build1	arm64
g++	4:13.2.0-7ubuntu1	arm64
g++-13	13.3.0-6ubuntu2~24.04.1	arm64
g++-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
g++-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
gcc	4:13.2.0-7ubuntu1	arm64
gcc-13	13.3.0-6ubuntu2~24.04.1	arm64
gcc-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
gcc-13-base	13.3.0-6ubuntu2~24.04.1	arm64
gcc-14-base	14.2.0-4ubuntu2~24.04.1	arm64
gcc-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
gdal-data	3.8.4+dfsg-3ubuntu3	all
gdal-plugins	3.8.4+dfsg-3ubuntu3	arm64
geoclue-2.0	2.7.0-3ubuntu7	arm64
gfortran	4:13.2.0-7ubuntu1	arm64
gfortran-13	13.3.0-6ubuntu2~24.04.1	arm64
gfortran-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
gfortran-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
ghostscript	10.02.1~dfsg1-0ubuntu7.8	arm64
gir1.2-girepository-2.0	1.80.1-1	arm64
gir1.2-glib-2.0	2.80.0-6ubuntu3.8	arm64
gir1.2-ibus-1.0	1.5.29-2	arm64
git	1:2.43.0-1ubuntu7.3	arm64
git-man	1:2.43.0-1ubuntu7.3	all
glib-networking	2.80.0-1build1	arm64
glib-networking-common	2.80.0-1build1	all
glib-networking-services	2.80.0-1build1	arm64
glslang-dev	15.1.0-2~ubuntu0.24.04.2	arm64
glslc	2023.8-1build1	arm64
gnupg	2.4.4-2ubuntu17.6	all
gnupg-utils	2.4.4-2ubuntu17.6	arm64
gnupg2	2.4.4-2ubuntu17.6	all
google-mock	1.14.0-1	arm64
googletest	1.14.0-1	all
gpg	2.4.4-2ubuntu17.6	arm64
gpg-agent	2.4.4-2ubuntu17.6	arm64
gpgconf	2.4.4-2ubuntu17.6	arm64
gpgsm	2.4.4-2ubuntu17.6	arm64
gpgv	2.4.4-2ubuntu17.6	arm64
graphicsmagick-libmagick-dev-compat	1.4+really1.3.42-1.1build3	all
graphviz	2.42.2-9ubuntu0.1	arm64
grep	3.11-4build1	arm64
gsettings-desktop-schemas	46.1-0ubuntu1	all
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.4	arm64
gtk-update-icon-cache	3.24.41-4ubuntu1.3	arm64
gzip	1.12-1ubuntu3.2	arm64
hdf5-helpers	1.10.10+repack-3.1ubuntu4	arm64
hicolor-icon-theme	0.17-2	all
hostname	3.23+nmu2ubuntu2	arm64
humanity-icon-theme	0.6.16	all
ibverbs-providers	50.0-2ubuntu0.2	arm64
icu-devtools	74.2-1ubuntu3.1	arm64
iio-sensor-proxy	3.5-1build2	arm64
init-system-helpers	1.66ubuntu1	all
iso-codes	4.16.0-1	all
isympy-common	1.12-7	all
isympy3	1.12-7	all
javascript-common	11+nmu1	all
keyboxd	2.4.4-2ubuntu17.6	arm64
krb5-multidev	1.20.1-6ubuntu2.8	arm64
libaacs0	0.11.1-2build1	arm64
libacl1	2.3.2-1build1.1	arm64
libaec-dev	1.1.2-1build1	arm64
libaec0	1.1.2-1build1	arm64
libamd3	1:7.6.1+dfsg-1build1	arm64
libann0	1.1.2+doc-9build1	arm64
libaom-dev	3.8.2-2ubuntu0.1	arm64
libaom3	3.8.2-2ubuntu0.1	arm64
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7	arm64
libapt-pkg6.0t64	2.8.3	arm64
libarchive13t64	3.7.2-2ubuntu0.8	arm64
libargon2-1	0~20190702+dfsg-4build1	arm64
libarmadillo-dev	1:12.6.7+dfsg-1build2	arm64
libarmadillo12	1:12.6.7+dfsg-1build2	arm64
libarpack2-dev	3.9.1-1.1build2	arm64
libarpack2t64	3.9.1-1.1build2	arm64
libasan8	14.2.0-4ubuntu2~24.04.1	arm64
libasound2-data	1.2.11-1ubuntu0.3	all
libasound2-dev	1.2.11-1ubuntu0.3	arm64
libasound2t64	1.2.11-1ubuntu0.3	arm64
libass9	1:0.17.1-2build1	arm64
libassimp-dev	5.3.1+ds-2build1	arm64
libassimp5	5.3.1+ds-2build1	arm64
libassuan0	2.5.6-1build1	arm64
libasyncns0	0.8-6build4	arm64
libatk-bridge2.0-0t64	2.52.0-1build1	arm64
libatk1.0-0t64	2.52.0-1build1	arm64
libatomic1	14.2.0-4ubuntu2~24.04.1	arm64
libatspi2.0-0t64	2.52.0-1build1	arm64
libattr1	1:2.5.2-1ubuntu0.1	arm64
